# The power spectrum definition is smaller than CAMB by a factor 8 pi^3.
#      k [h/Mpc]           P_cdm          P_vcdm           P_bar          P_vbar         P_total        P_vtotal
     1.14715e-05      0.00056602     0.000153232      0.00056602     0.000153232      0.00056602     0.000153232
     1.21145e-05     0.000596693     0.000161536     0.000596693     0.000161536     0.000596694     0.000161536
     1.27935e-05     0.000629029      0.00017029     0.000629029      0.00017029      0.00062903      0.00017029
     1.35106e-05     0.000663117     0.000179518     0.000663117     0.000179518     0.000663118     0.000179518
     1.42679e-05     0.000699053     0.000189247     0.000699053     0.000189247     0.000699053     0.000189247
     1.50676e-05     0.000736935     0.000199502     0.000736935     0.000199502     0.000736936     0.000199502
     1.59122e-05     0.000776871     0.000210313     0.000776871     0.000210313     0.000776872     0.000210313
     1.68041e-05     0.000818971     0.000221711     0.000818971     0.000221711     0.000818972     0.000221711
      1.7746e-05     0.000863352     0.000233725     0.000863352     0.000233725     0.000863353     0.000233725
     1.87406e-05     0.000910138     0.000246391     0.000910138     0.000246391     0.000910139     0.000246391
     1.97911e-05      0.00095946     0.000259744     0.000959459     0.000259743     0.000959461     0.000259744
     2.09004e-05      0.00101145     0.000273819      0.00101145     0.000273819      0.00101145     0.000273819
     2.20719e-05      0.00106627     0.000288658      0.00106626     0.000288658      0.00106627     0.000288658
      2.3309e-05      0.00112405       0.0003043      0.00112405       0.0003043      0.00112405       0.0003043
     2.46155e-05      0.00118496     0.000320791      0.00118496      0.00032079      0.00118496     0.000320791
     2.59952e-05      0.00124917     0.000338174      0.00124917     0.000338174      0.00124917     0.000338174
     2.74523e-05      0.00131687       0.0003565      0.00131687       0.0003565      0.00131687       0.0003565
      2.8991e-05      0.00138823     0.000375819      0.00138823     0.000375819      0.00138823     0.000375819
      3.0616e-05      0.00146345     0.000396184      0.00146345     0.000396184      0.00146346     0.000396184
      3.2332e-05      0.00154276     0.000417653      0.00154276     0.000417653      0.00154276     0.000417653
     3.41442e-05      0.00162636     0.000440285      0.00162636     0.000440285      0.00162636     0.000440285
     3.60581e-05      0.00171449     0.000464144      0.00171449     0.000464144      0.00171449     0.000464144
     3.80791e-05       0.0018074     0.000489295      0.00180739     0.000489295       0.0018074     0.000489295
     4.02135e-05      0.00190533     0.000515809      0.00190533     0.000515809      0.00190534     0.000515809
     4.24675e-05      0.00200858     0.000543759      0.00200858     0.000543759      0.00200858     0.000543759
     4.48478e-05      0.00211742     0.000573224      0.00211742     0.000573223      0.00211742     0.000573224
     4.73616e-05      0.00223215     0.000604285      0.00223215     0.000604284      0.00223215     0.000604285
     5.00163e-05       0.0023531     0.000637028       0.0023531     0.000637028       0.0023531     0.000637028
     5.28197e-05      0.00248061     0.000671545       0.0024806     0.000671545      0.00248061     0.000671545
     5.57803e-05      0.00261502     0.000707932      0.00261501     0.000707932      0.00261502     0.000707932
     5.89068e-05      0.00275671      0.00074629       0.0027567     0.000746289      0.00275671      0.00074629
     6.22086e-05      0.00290607     0.000786726      0.00290606     0.000786725      0.00290607     0.000786725
     6.56954e-05      0.00306352     0.000829351      0.00306352      0.00082935      0.00306352     0.000829351
     6.93777e-05       0.0032295     0.000874285       0.0032295     0.000874283       0.0032295     0.000874284
     7.32664e-05      0.00340447     0.000921652      0.00340446      0.00092165      0.00340447     0.000921651
      7.7373e-05      0.00358892     0.000971583       0.0035889     0.000971581      0.00358891     0.000971583
     8.17098e-05      0.00378334      0.00102422      0.00378333      0.00102422      0.00378334      0.00102422
     8.62897e-05       0.0039883       0.0010797      0.00398828       0.0010797       0.0039883       0.0010797
